race_date,track,race_no,start_time,minutes_before,target_time,captured_at,capture_launch_time,offset_seconds,source_time,bet_type,combination,odds_low,odds_high,popularity,status,source_file,source_url
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-10-13,4504.6,4504.6,289,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-10-14,311.8,311.8,82,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-11-12,6757.0,6757.0,331,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-11-13,13514.0,13514.0,354,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-11-14,1930.5,1930.5,216,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-12-13,20271.0,20271.0,361,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-12-14,1447.9,1447.9,192,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-13-14,1192.4,1192.4,175,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-9-10,1501.5,1501.5,197,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-9-11,6757.0,6757.0,331,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-9-12,5067.7,5067.7,303,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-9-13,4504.6,4504.6,289,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,8-9-14,643.5,643.5,124,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,9-10-11,1351.4,1351.4,184,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,9-10-12,1095.7,1095.7,167,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,9-10-13,1095.7,1095.7,167,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
2026-09-20,saga,9,20:40,10,20:30:00,2026-09-20 20:30:00,20:30:00,0.0,20:29,三連複,9-10-14,41.5,41.5,14,success,saga_9R_m10_203000_odds.csv,https://www.keiba.go.jp/KeibaWeb/TodayRaceInfo/Odds3LenFuku?k_babaCode=32&k_raceDate=2026%2F09%2F20&k_raceNo=9
